01788D	017919
0180AE	019AAF
018884	018956
01575D	0158E9
01529E	018FA6
015E2E	015E6B
015B9D	015BF6
0162A5	015831
015E01	015E63
016BD9	016583
016807	016A19
01522B,018173	015F46,018173
01522B,01626D	015F46,01626D
01535C	018514
018865	0188DC
018695	018836
01707F	0171E6
015C42	015C64
016400	016519
018C17	018B92
01998B	01995E
017F20	017E8F
015FCF	0161FA
01507F	01511F
015382	015EE0
015F7B	015FB9
015C18	015875
01886C	01896F
0179F0	017A31
0160E9	0161F2
018FDF	019072
0151B2	01885D
014E11	01919C
017840	01790E
015904	018655
0189E6	0189F8
018F9E	018FAD
01806A	018070
014E1B	0153E2
0162C5	0164D4
0180C6	0181BD
015BFC	015C0E
01706F	0171C8
019093	019127
01654C	016575
017C74	017CF4
019012	01905E
0170B9	019EDE
016DC0	016FB1
017535	0196FB
016230,016597	016230,019B25
016218,016597	016230,019B25
016597,01722D	019B25,01722D
014E89	01722D
0172EC	017368
015428	015678
01593A	01596A
015815	0158AE
0177FE	01792C
018303	017BC4
0198DE	0198DB
01575F	0158B3
01594B	01596E
017CAA	017CDE
0151E4	019CF3
0180A4	01819A
015987	015A66
01590D	015FA9
01590D	018907
0176D6	0184CB
018D76	018D95
014E2A	01500B
015DE9	01978F
016C9F	016E9D
016784	0169CB
018D2D	018CFC
01987E	019867
01522E	0198B3
015173	0195DC
0189C2	0189C0
0167DC	016AC3
016C49	016F22
0153F7	01865F
015408,015BB6	0195A4,015BB6
018F70	018F5F
01540E	015F8C
0180E1	019B0D
0158F6	0158FA
016CAA	016EEC
0162A4	018B77
015212	015283
016000	0161F7
01574F	0158DE
016B22	016B61
0173AF	0174B0
018FD8	019084
014F19	015925
0150A2,014F19	0150A2,014F19
015BB6,014F19	0150A2,014F19
015C0F,014F19,015B50	015C0F,014F19,015B50
0183B7	017372
0183B7	017A6B
0151FB	0164CA
0151FB	016483
019E21	019DC4
0179EF	017A4D
016781	016975
019645	01969B
017EE7	017E7C
014EF7	0150F9
018270	018271
016B7C	016BB2
018327	017E6D
0162E3	0163C0
017877	019E78
018230	018266
0159DC	018591
016D46	016F3F
016868	0169F3
015956	01734E
018BB2	018B1B
019171	0191AC
0180F6	0181A0
019636	01968E
017596	017664
016D01	016F54
01501F	0185C9
014EC5	0150C5
0160CA	019A5A
017ADE	017AF6
0165E7	01820A
015267	015287
01636E	0164DA
0160E7	0161FC
015377	016372
015F00	01958B
01514B,01661F	01524B,01661F
01514B,016B7B	01524B,016B7B
0176F8,01514B	0176F8,01524B
0157A6	0158BE
016073	0161C7
015938	018A87
015757	01584A
014E8F	018667
0156F0	01774F
01814A	0181D8
018721	01881F
015170	01862D
0162E6	016514
01680F	016B04
0170C2	01721B
017D2F	017E8D
015792	0158D8
017C7B	01985E
01793C	0179AE
0196B6	0196B8
015E18	017C3E
018054	01806F
01601C	016190
0170BC	017149
017EC3	017DF4
017CAE	017CE7
017597	017642
018FBD	01907C
01730E	017375
014E34	0181E8
0190BB	019130
015CAD	015DBA
015E90	015EEC
0182A6	018606
017089	017210
019646	019678
019A74	019A62
014E71	014E82
014E48	019EBC
019709	019EF4
018499	0177C7
018499	016FDB
018499	0161DE
0168A6	015922
015E99	015EDF
01706D	016EC5
018511	01884A
014EA9	01755D
01607C	0160F1
018111	018166
0162DF	0164EC
01917F	0191C0
01759F	017627
0176D8	0176E4
018F9F	0195E2
0182F9	01860B
0151ED	016191
016251	0164B2
014EC6	0150D5
014EC6,015012	014EC6,015012
014EC6,018857	014EC6,018857
016734	016A38
01542F	01555F
