# http://unicode.org/Public/MAPPINGS/VENDORS/MICSFT/WINDOWS/CP1256.TXT
80	0120AC
81	01067E
82	01201A
83	010192
84	01201E
85	012026
86	012020
87	012021
88	0102C6
89	012030
8A	010679
8B	012039
8C	010152
8D	010686
8E	010698
8F	010688
90	0106AF
91	012018
92	012019
93	01201C
94	01201D
95	012022
96	012013
97	012014
98	0106A9
99	012122
9A	010691
9B	01203A
9C	010153
9D	01200C
9E	01200D
9F	0106BA
A0	01A0
A1	01060C
A2	01A2
A3	01A3
A4	01A4
A5	01A5
A6	01A6
A7	01A7
A8	01A8
A9	01A9
AA	0106BE
AB	01AB
AC	01AC
AD	01AD
AE	01AE
AF	01AF
B0	01B0
B1	01B1
B2	01B2
B3	01B3
B4	01B4
B5	01B5
B6	01B6
B7	01B7
B8	01B8
B9	01B9
BA	01061B
BB	01BB
BC	01BC
BD	01BD
BE	01BE
BF	01061F
C0	0106C1
C1	010621
C2	010622
C3	010623
C4	010624
C5	010625
C6	010626
C7	010627
C8	010628
C9	010629
CA	01062A
CB	01062B
CC	01062C
CD	01062D
CE	01062E
CF	01062F
D0	010630
D1	010631
D2	010632
D3	010633
D4	010634
D5	010635
D6	010636
D7	01D7
D8	010637
D9	010638
DA	010639
DB	01063A
DC	010640
DD	010641
DE	010642
DF	010643
E0	01E0
E1	010644
E2	01E2
E3	010645
E4	010646
E5	010647
E6	010648
E7	01E7
E8	01E8
E9	01E9
EA	01EA
EB	01EB
EC	010649
ED	01064A
EE	01EE
EF	01EF
F0	01064B
F1	01064C
F2	01064D
F3	01064E
F4	01F4
F5	01064F
F6	010650
F7	01F7
F8	010651
F9	01F9
FA	010652
FB	01FB
FC	01FC
FD	01200E
FE	01200F
FF	0106D2
